"code","iso","country","biome","biome_description","TPA.raw.1990","TPA.raw.1991","TPA.raw.1992","TPA.raw.1993","TPA.raw.1994","TPA.raw.1995","TPA.raw.1996","TPA.raw.1997","TPA.raw.1998","TPA.raw.1999","TPA.raw.2000","TPA.raw.2001","TPA.raw.2002","TPA.raw.2003","TPA.raw.2004","TPA.raw.2005","TPA.raw.2006","TPA.raw.2007","TPA.raw.2008","TPA.raw.2009","TPA.raw.2010","TPA.raw.2011","TPA.raw.2012","TPA.raw.2013","TPA.raw.2014","TPA.raw.2015","TPA.raw.2016","TPA.raw.2017"
408,"PRK","North Korea",4,"Temperate Broadleaf & Mixed Forests                     ",2977.63,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,2977.79,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28,3505.28
580,"MNP","Northern Mariana Islands",2,"Tropical & Subtropical Dry Broadleaf Forests            ",0,37.9,37.9,37.9,38.83,37.9,37.9,37.9,37.9,37.9,37.9,38.34,38.83,38.83,38.83,38.83,38.83,38.83,38.83,38.83,78.82,78.82,78.82,78.82,78.82,78.82,78.82,78.82
578,"NOR","Norway",11,"Tundra                                                  ",22653.51,23327.87,25045.19,25396.05,36266.71,25728.05,25798.57,25879.23,26428.64,26430.31,26555.9,29514.66,31310.43,35094.59,36266.71,39782.38,40743.25,47332.14,47455.41,47680.07,51621.72,52203.7,54266.8,54538.87,54678.37,54840.02,55049.27,55049.27
578,"NOR","Norway",5,"Temperate Conifer Forests                               ",209.71,210.68,216.27,216.47,308.02,226.36,230.48,240.02,242.72,242.72,268.85,286.8,288.99,299.79,308.02,317.41,341.34,341.34,341.34,341.34,407.29,413.09,414.99,414.99,446.04,446.04,446.04,446.04
578,"NOR","Norway",4,"Temperate Broadleaf & Mixed Forests                     ",91.9,96.16,96.69,120.38,227.56,176.94,176.98,182.07,185.38,185.41,185.41,205.22,205.63,227.56,227.56,227.56,269.12,274.46,274.46,278.38,316.32,338.75,340.4,340.4,354.8,356.62,361.2,361.2
578,"NOR","Norway",6,"Boreal Forests/Taiga                                    ",4.4,4.4,4.4,4.7,5.17,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.74,5.17,5.54,5.54,6.27,6.27,6.27,6.27,6.27,6.27,6.59,11.12,11.12,11.12,11.12
512,"OMN","Oman",13,"Deserts & Xeric Shrublands                              ",0,0,0,0,7711.38,2845.92,2845.92,3076.73,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7711.38,7712.39,7712.39,7712.39,7712.39
512,"OMN","Oman",8,"Temperate Grasslands, Savannas & Shrublands             ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.3,297.3,297.3,297.3,297.3,297.3
586,"PAK","Pakistan",13,"Deserts & Xeric Shrublands                              ",76547.48,76803.02,76803.02,76803.02,80451.13,76803.02,76803.02,77053.41,77053.41,77053.41,77053.41,77053.41,77994.01,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13,80451.13
586,"PAK","Pakistan",14,"Mangroves                                               ",992.88,992.88,992.88,992.88,1410.61,992.88,992.88,992.88,992.88,992.88,992.88,992.88,1081.81,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61,1410.61
586,"PAK","Pakistan",4,"Temperate Broadleaf & Mixed Forests                     ",370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03,370.03
586,"PAK","Pakistan",1,"Tropical & Subtropical Moist Broadleaf Forests          ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,"PAK","Pakistan",9,"Flooded Grasslands & Savannas                           ",800.65,800.65,800.65,800.65,1578.77,800.65,800.65,800.65,800.65,800.65,800.65,800.65,807.48,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77,1578.77
586,"PAK","Pakistan",10,"Montane Grasslands & Shrublands                         ",8034.28,9461.76,9461.76,9461.76,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98,9603.98
586,"PAK","Pakistan",3,"Tropical & Subtropical Coniferous Forests               ",648.51,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45,717.45
585,"PLW","Palau",1,"Tropical & Subtropical Moist Broadleaf Forests          ",0,91.47,91.47,91.47,96.27,91.47,91.47,91.47,91.47,91.47,91.47,91.47,91.47,96.27,96.27,96.27,103.74,103.74,103.74,103.74,103.74,103.74,103.74,103.74,103.74,103.74,103.74,103.74
591,"PAN","Panama",14,"Mangroves                                               ",206.03,529.09,529.09,529.09,844.85,741.82,741.82,741.82,741.82,741.82,741.82,741.82,741.82,741.82,844.85,844.85,844.85,844.85,844.85,844.85,844.85,845.98,845.98,845.98,845.98,845.98,845.98,845.98
591,"PAN","Panama",1,"Tropical & Subtropical Moist Broadleaf Forests          ",15746.88,16499.89,16499.89,16546.83,17705.25,16794.38,16794.38,16794.38,16794.38,16794.38,16794.38,16819.55,17594.01,17594.01,17705.25,17705.25,17705.25,17705.25,17705.25,17705.25,17705.25,17917.87,17917.87,17917.87,17917.87,17917.87,17917.87,17917.87
591,"PAN","Panama",2,"Tropical & Subtropical Dry Broadleaf Forests            ",20.75,20.75,20.75,20.75,73.62,64.9,64.9,64.9,64.9,64.9,64.9,64.9,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62,73.62
598,"PNG","Papua New Guinea",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",6109.5,6109.5,6109.5,6109.5,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73,6142.73
598,"PNG","Papua New Guinea",14,"Mangroves                                               ",147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18,147.18
598,"PNG","Papua New Guinea",1,"Tropical & Subtropical Moist Broadleaf Forests          ",1697.87,2732.24,2775.53,3012.16,8103.9,5766.89,5766.89,5766.89,8053.85,8056.51,8056.51,8056.51,8057.13,8057.13,8103.9,8103.9,8103.9,8105.45,8105.45,8105.45,8105.45,8105.45,8105.45,8105.45,8105.45,8105.45,8105.45,8105.45
598,"PNG","Papua New Guinea",10,"Montane Grasslands & Shrublands                         ",0,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15,8.15
600,"PRY","Paraguay",1,"Tropical & Subtropical Moist Broadleaf Forests          ",634.27,939.63,1594,2265.12,4524.81,2286.68,2286.68,2286.68,2286.68,2286.68,2286.68,4189.78,4524.81,4524.81,4524.81,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88,4542.88
600,"PRY","Paraguay",9,"Flooded Grasslands & Savannas                           ",0,0,0,0,476.05,0,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05,476.05
600,"PRY","Paraguay",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",10025.83,10790.57,10911.24,12167.05,21192.69,12487.2,15397.4,15397.4,15698.65,17098.57,17098.57,17180.82,17181.54,17181.54,21192.69,21277.73,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7,70985.7
604,"PER","Peru",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",0,0,0,0,144.33,0,0,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33,144.33
604,"PER","Peru",13,"Deserts & Xeric Shrublands                              ",7927.64,7927.64,7927.64,7930.03,8637.02,7930.03,7930.03,7930.03,7932.58,7932.58,7932.58,7932.58,8637.02,8637.02,8637.02,8652.06,11042.84,11045.62,11052.53,11129.7,11369.04,11882.32,13217.89,13217.89,13217.89,13242.13,13242.13,13288.06
604,"PER","Peru",10,"Montane Grasslands & Shrublands                         ",12297.42,12297.42,12297.42,12297.42,25260.09,12297.42,12297.42,12297.42,23942.74,23942.74,23942.74,23942.74,25230.38,25230.38,25260.09,25260.09,27924.03,27931.29,28021.36,28104.42,29342.89,29955.94,30026.78,30039.01,30043.92,30046.06,30228.09,30265.25
