code,iso,country,EPI.baseline,HLT.baseline,AIR.baseline,H2O.baseline,HMT.baseline,ECO.baseline,BDH.baseline,FRT.baseline,FSH.baseline,CCE.baseline,APE.baseline,WRS.baseline,AGR.baseline,HAD.baseline,PME.baseline,PMW.baseline,USD.baseline,UWD.baseline,PBD.baseline,MPA.baseline,TBN.baseline,TBG.baseline,SPI.baseline,PAR.baseline,SHI.baseline,TCL.baseline,FSS.baseline,MTR.baseline,DCT.baseline,DPT.baseline,DMT.baseline,DNT.baseline,DBT.baseline,DST.baseline,DXT.baseline,WWT.baseline,SNM.baseline
524,NPL,Nepal,32,5.6,2.39,10.97,15.01,49.61,61.76,58.5,,52.75,56.26,0,38.16,3.43,3.4,0,10.98,10.96,15.01,,65.36,38.75,75.95,34.55,99.39,58.5,,,71.34,50.62,21.57,31.27,21.59,58.54,53.99,0,38.16
528,NLD,Netherlands,75.9,89.86,86.79,98.76,76.37,66.6,79.36,35.78,57.62,55.73,89.41,99.9,35.39,88.44,83.55,87.84,97.52,100,76.37,100,66.18,66.18,99.81,49.69,79.54,35.78,55.34,59.9,50.25,36.52,84.9,37.15,89.31,98.71,80.1,99.9,35.39
554,NZL,New Zealand,72.12,93.29,95.28,94.18,62.19,58.01,88.54,15.84,49.98,46.31,44.42,96.16,26.74,88.19,100,100,95,93.35,62.19,89.41,86.61,83.87,96.54,74.81,97.73,15.84,49.48,50.49,40.78,77.28,28.46,28.4,67.06,28.22,60.63,96.16,26.74
558,NIC,Nicaragua,50.31,56.81,68.98,31.37,51.22,45.98,91,9.93,67.11,40.62,25.15,0,16.44,22.45,100,100,29.57,33.17,51.22,91.16,93.6,95.01,96.28,90.97,66.96,9.93,77.91,56.31,43.61,61.05,18.87,19.43,37.21,28.69,21.6,0,16.44
562,NER,Niger,42.37,40.45,60,0,29.05,43.65,75,0,,53.93,33.83,0,19.51,0,100,100,0,0,29.05,,87.84,86.54,66.99,19.24,98.03,0,,,97.25,26.25,0,0,1.03,46.53,21.13,0,19.51
566,NGA,Nigeria,49.74,34.6,49.01,0,54.96,59.82,70.73,,62.66,60.58,69.96,30.76,32.93,8.2,74.33,78.1,0,0,54.96,53.05,76.69,68.91,85.44,44.89,94.24,,90.57,34.75,79.5,37.04,44.32,46.66,44.51,73.91,66,30.76,32.93
578,NOR,Norway,76.14,94.42,92.9,99.28,85.16,63.96,74.55,30.67,68.95,68.17,38.72,96.11,28.51,82.24,100,100,98.55,100,85.16,75.11,70.36,70.43,78.33,58.59,98.48,30.67,83.74,54.16,51.01,96.51,98.38,20.94,52.75,28.63,48.8,96.11,28.51
512,OMN,Oman,45.15,66.07,72.52,60.93,12.93,31.2,33.57,,60.82,19.32,0.37,68.37,18.7,40.66,95.63,91.91,67.16,54.7,12.93,67.63,14.56,12.36,22.15,2.5,99.85,,98.3,23.33,0,48.86,13.4,87.54,49.74,0.01,0.72,68.37,18.7
586,PAK,Pakistan,33.74,14.46,14.77,14.97,7.27,46.59,60.68,50.68,52.4,41.26,50.91,26.03,20.89,5.69,18.77,22.88,15.59,14.34,7.27,82.24,62.89,53.82,52.3,11.31,93.03,50.68,60.44,44.36,46.25,41.37,31.33,29.97,41.84,52.02,49.79,26.03,20.89
591,PAN,Panama,53.78,62.87,75.14,39.18,45.36,47.73,86.48,25.89,43.08,30.27,17.55,78.12,11.23,37.86,100,100,37.25,41.11,45.36,84.23,93.8,86.61,92.24,56.03,95,25.89,33.83,52.33,35.72,21.77,22.04,31.78,41.23,16.51,18.6,78.12,11.23
598,PNG,Papua New Guinea,34.34,45.13,60,12.31,48.66,27.15,34.08,43.29,72.11,18.35,1.34,0,29.02,0,100,100,11.88,12.73,48.66,70.51,14.22,13.16,15.41,14.63,99.55,43.29,89.73,54.5,13.9,,32.63,15.16,26.68,2.32,0.35,0,29.02
